Simulation_Run,Ending_Balance_INR
113,2473544.8494092007
114,2141513.9469169234
115,2466064.3149133567
116,2649689.8850289807
117,2663598.6045184606
118,2320761.713742851
119,2669119.591304786
120,3325619.0668914025
121,2689754.9735037647
122,3002996.4450855115
123,2614062.281483316
124,2588107.7404937353
125,2935597.515150225
126,2463540.8052375526
127,2904323.566069422
128,2586239.445113608
129,2242974.8772564973
130,3079764.9915053663
131,2523825.7115959097
132,2144496.8939084075
133,2456426.5216421387
134,2673007.614852087
135,2431295.2792338626
136,2281876.1428394187
137,2600107.9492920483
138,3020691.773890388
139,2642635.25169072
140,2832354.7911270815
141,2295275.8316776464
142,2661971.0622221553
143,2393786.8491534027
144,2358917.00894043
145,2656340.4003571332
146,2385495.0656846124
147,2447277.1237455537
148,2718929.1402916308
149,2286984.0500489674
150,2473685.5754067954
151,2513666.4222889817
152,2450562.591522107
153,2696602.6433283137
154,2608215.3995854957
155,2658357.8628764157
156,2077611.0018829983
157,2591147.390782896
158,2226963.5520210816
159,2582701.913987917
160,2817240.4742564685
161,2876898.0757308826
162,2595106.071593928
163,2668408.4579606196
164,2780786.985807894
165,2411095.7482764353
166,2331669.5247273454
167,2916389.6675739535
168,2457510.8404617864
169,3163581.8209496182
170,2667737.423898838
171,2105262.1515633147
172,2639791.1482343483
173,2776374.9435184025
174,2861243.4005981437
175,2486755.5213051094
176,2559927.1885701655
177,2634585.1551395147
178,2970484.474483712
179,2216857.7377251685
180,2771154.1135284877
181,2550238.978914431
182,2947575.80416847
183,2608982.688166733
184,3022350.512967451
185,2467211.718817829
186,2546112.480840346
187,2603808.7523897593
188,2552905.1222211146
189,2578759.388899067
190,2621858.4212096394
191,2740451.7833238547
192,2767604.1508656177
193,2522220.8507611547
194,2841176.586946518
195,2481592.874682438
196,2154536.6598737645
197,2759955.0800249577
198,2845016.732058138
199,2504105.4034485132
200,2567789.677595516
201,2603592.0914135636
202,2624613.7497879765
203,2514557.465872442
204,2167635.9586799582
205,2362510.2734824666
206,2473106.7367784954
207,2599863.4900593893
208,2591641.163815642
209,2612991.993460921
210,2555457.3456539945
211,2620882.5017384244
212,2525072.817767439
213,2661166.503380937
214,3371624.1971060736
215,3258470.310088305
216,2775234.0788097726
217,2934885.867539034
218,2462187.286632597
219,2688980.963260122
220,2789119.590005046
221,2792983.536476364
222,2741613.4927711533
223,2662995.7985732667
224,2037845.5624995972
225,2789264.952598004
226,2264422.5296016634
227,2835449.3206423693
228,2811674.87282167
229,2216283.6690274808
230,2610592.354988571
231,2585764.6718602777
232,2726417.628602186
233,2640742.2921938472
234,2561611.9565203926
235,2627123.1269255015
236,2894776.003699912
237,2875421.7898172606
238,1960439.1019621715
239,2541377.651216862
240,2509030.848253288
241,2805084.902204863
242,2488002.242875247
243,2749889.172904774
244,2339023.6298262626
245,2236256.104110708
246,2444603.2998301797
247,2748974.384848971
248,2104768.6731362944
249,2866688.9546367633
250,2618924.105440724
251,2535156.9304288956
252,2578384.705663816
253,2749751.1273556766
254,2678707.384338971
255,2168802.892581123
256,2898460.4411212713
257,2703446.4546506125
258,2177298.02624171
259,2614046.283423036
260,2467137.686757016
261,2806751.783986165
262,2706714.650108643
263,2397899.80735459
264,2613793.693173648
265,2864134.998892415
266,2828162.953397482
267,2496718.1383820847
268,2691870.8230139147
269,2682391.739038391
270,2769555.7834328446
271,2930359.1656987863
272,2718350.926961789
273,3096208.478579915
274,2762945.291453177
275,3173235.4280568836
276,2442687.9509231835
277,2621350.915339347
278,2557859.286809301
279,2344808.996547988
280,2792937.280378063
281,2785395.002841206
282,3596130.2763012247
283,2561549.0600220556
284,2032896.8332415964
285,2485698.549014666
286,2692460.3262830502
287,2200836.3775489703
288,2620892.185908678
289,2899347.0777028496
290,2491580.203898615
291,2809867.6334022023
292,2306997.5031356965
293,2397573.4474223326
294,2438171.4556464697
295,2779479.7633243245
296,2572235.0160556515
297,2906615.7259595776
298,2695678.488321748
299,2472285.189877034
300,2513997.240578029
301,2987224.457629633
302,2343618.568908681
303,2727951.6987361996
304,2586299.405206201
305,2446111.8235877296
